date,value
2002-03-18_06_00,277.56298828125
2002-03-19_12_00,274.79901123046875
2002-03-19_06_00,274.7760009765625
2002-03-19_12_00,281.43701171875
2002-03-19_06_00,279.6579895019531
2002-03-20_12_00,278.510009765625
2002-03-20_06_00,277.47100830078125
2002-03-20_12_00,278.6730041503906
2002-03-20_06_00,277.00299072265625
2002-03-21_12_00,275.572998046875
2002-03-21_06_00,273.0260009765625
2002-03-21_12_00,269.0880126953125
2002-03-21_06_00,267.0140075683594
2002-03-22_12_00,265.489990234375
2002-03-22_06_00,264.1510009765625
2002-03-22_12_00,273.81298828125
2002-03-22_06_00,272.27398681640625
2002-03-23_12_00,270.67999267578125
2002-03-23_06_00,269.8210144042969
2002-03-23_12_00,281.43798828125
2002-03-23_06_00,274.2080078125
2002-03-24_12_00,273.04901123046875
2002-03-24_06_00,273.5090026855469
2002-03-24_12_00,278.8710021972656
2002-03-24_06_00,271.4739990234375
2002-03-25_12_00,269.96099853515625
2002-03-25_06_00,268.4989929199219
2002-03-25_12_00,269.87200927734375
2002-03-25_06_00,270.9739990234375
2002-03-26_12_00,270.05999755859375
2002-03-26_06_00,269.1889953613281
2002-03-26_12_00,272.3059997558594
2002-03-26_06_00,271.5379943847656
2002-03-27_12_00,269.1709899902344
2002-03-27_06_00,267.87701416015625
2002-03-27_12_00,279.0929870605469
2002-03-27_06_00,274.5639953613281
2002-03-28_12_00,271.7409973144531
2002-03-28_06_00,273.3080139160156
2002-03-28_12_00,279.33599853515625
2002-03-28_06_00,279.6549987792969
2002-03-29_12_00,278.2560119628906
2002-03-29_06_00,278.4280090332031
2002-03-29_12_00,278.5379943847656
2002-03-29_06_00,277.6029968261719
2002-03-30_12_00,277.2330017089844
2002-03-30_06_00,275.7030029296875
2002-03-30_12_00,283.7770080566406
2002-03-30_06_00,279.9309997558594
2002-03-31_12_00,275.6820068359375
2002-03-31_06_00,274.7130126953125
2002-03-31_12_00,281.1059875488281
2002-03-31_06_00,277.3370056152344
2002-04-01_12_00,273.23199462890625
2002-04-01_06_00,271.2250061035156
2002-04-01_12_00,279.0880126953125
2002-04-01_06_00,274.2430114746094
2002-04-02_12_00,276.135986328125
2002-04-02_06_00,277.864013671875
2002-04-02_12_00,278.5060119628906
2002-04-02_06_00,276.4440002441406
2002-04-03_12_00,273.906005859375
2002-04-03_06_00,273.4259948730469
2002-04-03_12_00,276.3819885253906
2002-04-03_06_00,275.3609924316406
2002-04-04_12_00,273.1470031738281
2002-04-04_06_00,272.4519958496094
2002-04-04_12_00,275.8710021972656
2002-04-04_06_00,274.2820129394531
2002-04-05_12_00,269.4159851074219
2002-04-05_06_00,271.1159973144531
2002-04-05_12_00,280.614013671875
2002-04-05_06_00,275.6199951171875
2002-04-06_12_00,268.9849853515625
2002-04-06_06_00,270.9519958496094
2002-04-06_12_00,278.8599853515625
2002-04-06_06_00,275.8380126953125
2002-04-07_12_00,274.1549987792969
2002-04-07_06_00,274.5320129394531
2002-04-07_12_00,275.7359924316406
2002-04-07_06_00,280.7070007324219
2002-04-08_12_00,280.6239929199219
2002-04-08_06_00,281.468994140625
2002-04-08_12_00,283.4320068359375
2002-04-08_06_00,285.4049987792969
2002-04-09_12_00,279.66900634765625
2002-04-09_06_00,278.78399658203125
2002-04-09_12_00,279.9209899902344
2002-04-09_06_00,279.239013671875
2002-04-10_12_00,276.2139892578125
2002-04-10_06_00,276.375
2002-04-10_12_00,287.1180114746094
2002-04-10_06_00,285.12200927734375
2002-04-11_12_00,282.5069885253906
2002-04-11_06_00,281.9200134277344
2002-04-11_12_00,292.5429992675781
2002-04-11_06_00,289.57598876953125
2002-04-12_12_00,289.177001953125
2002-04-12_06_00,289.760986328125
2002-04-12_12_00,288.6919860839844
2002-04-12_06_00,282.2120056152344
2002-04-13_12_00,280.2130126953125
2002-04-13_06_00,279.5849914550781
2002-04-13_12_00,289.0880126953125
2002-04-13_06_00,286.6940002441406
2002-04-14_12_00,284.6929931640625
2002-04-14_06_00,283.96099853515625
2002-04-14_12_00,294.0469970703125
2002-04-14_06_00,291.40899658203125
2002-04-15_12_00,289.9830017089844
2002-04-15_06_00,290.3389892578125
2002-04-15_12_00,299.2650146484375
2002-04-15_06_00,295.60198974609375
2002-04-16_12_00,293.9809875488281
2002-04-16_06_00,292.1619873046875
2002-04-16_12_00,299.614990234375
2002-04-16_06_00,296.1789855957031
2002-04-17_12_00,294.5050048828125
2002-04-17_06_00,293.1099853515625
2002-04-17_12_00,298.39801025390625
2002-04-17_06_00,295.7449951171875
2002-04-18_12_00,293.41400146484375
2002-04-18_06_00,291.8760070800781
2002-04-18_12_00,301.8269958496094
2002-04-18_06_00,298.00799560546875
2002-04-19_12_00,295.1199951171875
2002-04-19_06_00,289.4389953613281
2002-04-19_12_00,287.6969909667969
2002-04-19_06_00,280.0
2002-04-20_12_00,279.8550109863281
2002-04-20_06_00,277.9150085449219
2002-04-20_12_00,280.42498779296875
2002-04-20_06_00,277.9159851074219
2002-04-21_12_00,277.2650146484375
2002-04-21_06_00,278.4419860839844
2002-04-21_12_00,276.55499267578125
2002-04-21_06_00,277.2900085449219
2002-04-22_12_00,276.8320007324219
2002-04-22_06_00,275.80499267578125
2002-04-22_12_00,277.7650146484375
2002-04-22_06_00,277.7279968261719
2002-04-23_12_00,275.968994140625
2002-04-23_06_00,275.739990234375
2002-04-23_12_00,285.43499755859375
2002-04-23_06_00,283.8919982910156
2002-04-24_12_00,282.1300048828125
2002-04-24_06_00,282.260009765625
2002-04-24_12_00,293.2179870605469
2002-04-24_06_00,287.4469909667969
2002-04-25_12_00,277.197998046875
2002-04-25_06_00,276.70599365234375
2002-04-25_12_00,284.60400390625
2002-04-25_06_00,282.2229919433594
2002-04-26_12_00,277.54901123046875
2002-04-26_06_00,275.75
2002-04-26_12_00,283.6910095214844
2002-04-26_06_00,280.5920104980469
2002-04-27_12_00,277.0469970703125
2002-04-27_06_00,278.1059875488281
2002-04-27_12_00,280.19000244140625
2002-04-27_06_00,281.68701171875
2002-04-28_12_00,286.7850036621094
2002-04-28_06_00,282.03399658203125
2002-04-28_12_00,278.47698974609375
2002-04-28_06_00,278.2770080566406
2002-04-29_12_00,277.6419982910156
2002-04-29_06_00,278.3699951171875
2002-04-29_12_00,283.6570129394531
2002-04-29_06_00,285.3760070800781
2002-04-30_12_00,282.614013671875
2002-04-30_06_00,282.23699951171875
2002-04-30_12_00,284.6059875488281
2002-04-30_06_00,283.5429992675781
2002-05-01_12_00,281.8399963378906
2002-05-01_06_00,281.5950012207031
2002-05-01_12_00,290.7409973144531
2002-05-01_06_00,284.9419860839844
2002-05-02_12_00,280.0849914550781
2002-05-02_06_00,279.8760070800781
2002-05-02_12_00,282.2380065917969
2002-05-02_06_00,282.0369873046875
2002-05-03_12_00,279.5929870605469
2002-05-03_06_00,277.2309875488281
2002-05-03_12_00,284.79400634765625
2002-05-03_06_00,281.10400390625
2002-05-04_12_00,276.3739929199219
2002-05-04_06_00,278.9620056152344
2002-05-04_12_00,290.3760070800781
2002-05-04_06_00,288.489013671875
2002-05-05_12_00,285.6289978027344
2002-05-05_06_00,284.7560119628906
2002-05-05_12_00,292.6409912109375
2002-05-05_06_00,293.18798828125
2002-05-06_12_00,290.4119873046875
2002-05-06_06_00,288.77398681640625
2002-05-06_12_00,295.0069885253906
2002-05-06_06_00,293.6919860839844
2002-05-07_12_00,292.28900146484375
2002-05-07_06_00,289.968994140625
