date,value
2002-03-01_06_00,261.4666748046875
2002-03-02_12_00,292.72515869140625
2002-03-02_06_00,302.2915954589844
2002-03-02_12_00,312.3453369140625
2002-03-02_06_00,315.2642822265625
2002-03-03_12_00,294.0137023925781
2002-03-03_06_00,268.84552001953125
2002-03-03_12_00,251.01904296875
2002-03-03_06_00,242.58468627929688
2002-03-04_12_00,172.89096069335938
2002-03-04_06_00,154.95834350585938
2002-03-04_12_00,163.91415405273438
2002-03-04_06_00,237.47451782226562
2002-03-05_12_00,250.57608032226562
2002-03-05_06_00,243.67886352539062
2002-03-05_12_00,242.01377868652344
2002-03-05_06_00,303.1145935058594
2002-03-06_12_00,316.0934143066406
2002-03-06_06_00,315.1839294433594
2002-03-06_12_00,316.0787658691406
2002-03-06_06_00,325.8981628417969
2002-03-07_12_00,315.43255615234375
2002-03-07_06_00,313.2220764160156
2002-03-07_12_00,315.8158874511719
2002-03-07_06_00,325.6305236816406
2002-03-08_12_00,338.2216796875
2002-03-08_06_00,359.8385314941406
2002-03-08_12_00,363.66180419921875
2002-03-08_06_00,376.4828796386719
2002-03-09_12_00,373.1160888671875
2002-03-09_06_00,361.05487060546875
2002-03-09_12_00,345.66644287109375
2002-03-09_06_00,283.6722717285156
2002-03-10_12_00,247.88897705078125
2002-03-10_06_00,198.57608032226562
2002-03-10_12_00,191.01943969726562
2002-03-10_06_00,196.757080078125
2002-03-11_12_00,209.17784118652344
2002-03-11_06_00,208.14224243164062
2002-03-11_12_00,249.1756591796875
2002-03-11_06_00,285.32952880859375
2002-03-12_12_00,278.8461608886719
2002-03-12_06_00,244.19468688964844
2002-03-12_12_00,241.51300048828125
2002-03-12_06_00,262.5758361816406
2002-03-13_12_00,256.18206787109375
2002-03-13_06_00,245.5109405517578
2002-03-13_12_00,259.82598876953125
2002-03-13_06_00,293.1631164550781
2002-03-14_12_00,301.792236328125
2002-03-14_06_00,322.7856140136719
2002-03-14_12_00,349.7746276855469
2002-03-14_06_00,320.3389892578125
2002-03-15_12_00,343.0494689941406
2002-03-15_06_00,275.82635498046875
2002-03-15_12_00,305.351318359375
2002-03-15_06_00,303.3499450683594
2002-03-16_12_00,298.1044616699219
2002-03-16_06_00,301.91424560546875
2002-03-16_12_00,294.9267272949219
2002-03-16_06_00,225.96156311035156
2002-03-17_12_00,225.41232299804688
2002-03-17_06_00,287.579833984375
2002-03-17_12_00,302.775634765625
2002-03-17_06_00,318.6850891113281
2002-03-18_12_00,318.38720703125
2002-03-18_06_00,252.64662170410156
2002-03-18_12_00,239.2734375
2002-03-18_06_00,267.2685546875
2002-03-19_12_00,267.00909423828125
2002-03-19_06_00,275.44134521484375
2002-03-19_12_00,293.0390930175781
2002-03-19_06_00,306.6543273925781
2002-03-20_12_00,311.9261474609375
2002-03-20_06_00,332.1897888183594
2002-03-20_12_00,321.4010009765625
2002-03-20_06_00,300.0525207519531
2002-03-21_12_00,251.17930603027344
2002-03-21_06_00,287.5443420410156
2002-03-21_12_00,275.4336853027344
2002-03-21_06_00,224.334716796875
2002-03-22_12_00,198.34315490722656
2002-03-22_06_00,182.34075927734375
2002-03-22_12_00,190.55612182617188
2002-03-22_06_00,204.03187561035156
2002-03-23_12_00,198.47471618652344
2002-03-23_06_00,198.1013946533203
2002-03-23_12_00,212.41775512695312
2002-03-23_06_00,243.51791381835938
2002-03-24_12_00,258.0188293457031
2002-03-24_06_00,300.2643737792969
2002-03-24_12_00,278.1706848144531
2002-03-24_06_00,298.0168151855469
2002-03-25_12_00,292.9974060058594
2002-03-25_06_00,283.81573486328125
2002-03-25_12_00,285.04400634765625
2002-03-25_06_00,255.86929321289062
2002-03-26_12_00,272.7163391113281
2002-03-26_06_00,289.9454650878906
2002-03-26_12_00,292.8613586425781
2002-03-26_06_00,286.799560546875
2002-03-27_12_00,216.89755249023438
2002-03-27_06_00,216.6420135498047
2002-03-27_12_00,226.83522033691406
2002-03-27_06_00,240.01243591308594
2002-03-28_12_00,273.03375244140625
2002-03-28_06_00,313.0844421386719
2002-03-28_12_00,308.91552734375
2002-03-28_06_00,325.3064880371094
2002-03-29_12_00,324.2159729003906
2002-03-29_06_00,310.9476318359375
2002-03-29_12_00,334.5736083984375
2002-03-29_06_00,304.7695007324219
2002-03-30_12_00,247.70315551757812
2002-03-30_06_00,241.37916564941406
2002-03-30_12_00,246.56082153320312
2002-03-30_06_00,269.13409423828125
2002-03-31_12_00,244.17428588867188
2002-03-31_06_00,236.55064392089844
2002-03-31_12_00,272.96356201171875
2002-03-31_06_00,292.8203430175781
2002-04-01_12_00,238.06866455078125
2002-04-01_06_00,220.3299560546875
2002-04-01_12_00,250.17788696289062
2002-04-01_06_00,309.63153076171875
